
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
test_4;14;C ;Unknown;5 Nov 2020 15:13:25;00:01:36.000;00:00:00.000;859;20;0;0;0;0;0;0;20;0;N/A;00.00%;
test_4;14;C ;Unknown;5 Nov 2020 15:13:25;00:01:36.000;00:00:00.000;859;20;0;0;0;0;0;0;20;0;N/A;00.00%;
QFN 6X6 BPVI_1;15;A ;Unknown;5 Nov 2020 15:15:03;00:00:00.000;00:00:00.000;859;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
QFN 6X6 BPVI_1;15;C ;Unknown;5 Nov 2020 15:16:21;00:01:18.000;00:00:00.000;879;20;0;0;0;0;0;0;20;0;N/A;00.00%;
QFN 6X6 BPVI_1;15;C ;Unknown;5 Nov 2020 15:16:21;00:01:18.000;00:00:00.000;879;20;0;0;0;0;0;0;20;0;N/A;00.00%;
BGA 8X11 TopMark_1;16;A ;Unknown;5 Nov 2020 15:33:36;00:00:00.000;00:00:00.000;879;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
BGA 8X11 TopMark_1;16;C ;Unknown;5 Nov 2020 15:36:10;00:02:34.000;00:00:00.000;899;20;0;0;0;0;0;0;20;0;N/A;00.00%;
BGA 8X11 TopMark_1;16;C ;Unknown;5 Nov 2020 15:36:10;00:02:34.000;00:00:00.000;899;20;0;0;0;0;0;0;20;0;N/A;00.00%;
BGA 8X11 TopMark_2;17;A ;Unknown;5 Nov 2020 15:36:51;00:00:00.000;00:00:00.000;899;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
BGA 8X11 TopMark_2;17;C ;Unknown;5 Nov 2020 15:37:48;00:00:57.000;00:00:00.000;919;20;0;0;0;0;0;0;20;0;N/A;00.00%;
BGA 8X11 TopMark_2;17;C ;Unknown;5 Nov 2020 15:37:48;00:00:57.000;00:00:00.000;919;20;0;0;0;0;0;0;20;0;N/A;00.00%;
test_5;18;A ;Unknown;5 Nov 2020 16:41:14;00:00:00.000;00:00:00.000;919;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
test_5;18;C ;Unknown;5 Nov 2020 16:44:05;00:02:51.000;00:00:00.000;939;20;0;0;0;0;0;0;20;0;N/A;00.00%;
test_5;18;C ;Unknown;5 Nov 2020 16:44:05;00:02:51.000;00:00:00.000;939;20;0;0;0;0;0;0;20;0;N/A;00.00%;
QFN 6X6 IS5 5S PVI_1;19;A ;Unknown;5 Nov 2020 16:44:41;00:00:00.000;00:00:00.000;939;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
QFN 6X6 IS5 5S PVI_1;19;C ;Unknown;5 Nov 2020 16:48:34;00:03:53.000;00:00:00.000;959;20;0;0;0;0;0;0;20;0;N/A;00.00%;
QFN 6X6 IS5 5S PVI_1;19;C ;Unknown;5 Nov 2020 16:48:34;00:03:53.000;00:00:00.000;959;20;0;0;0;0;0;0;20;0;N/A;00.00%;
BGA 5.3X5 Sort Test X3 Pass Front;20;C ;X3;6 Nov 2020 11:32:26;00:20:58.000;00:09:15.000;1375;416;96;0;0;0;0;0;320;275;623;00.00%;
BGA 5.3X5 Sort Test X3 Pass Rear;21;C ;X3;6 Nov 2020 12:01:08;00:07:46.000;00:07:02.000;1791;416;85;0;0;0;0;0;331;657;725;00.00%;
BGA 5.3X5 Full Sorting Test;22;C ;X3;6 Nov 2020 14:46:31;02:16:49.000;00:40:51.000;12403;10612;134;9568;0;0;0;0;910;4255;14250;98.62%;
QFN 6X6 IS5 CTD_1;23;A ;Unknown;8 Nov 2020 09:17:17;00:00:00.000;00:00:00.000;12403;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
QFN 6X6 IS5 CTD_1;23;C ;Unknown;8 Nov 2020 09:18:47;00:01:30.000;00:00:00.000;12413;10;0;0;0;0;0;0;10;0;N/A;00.00%;
QFN 6X6 IS5 CTD_1;23;C ;Unknown;8 Nov 2020 09:18:47;00:01:30.000;00:00:00.000;12413;10;0;0;0;0;0;0;10;0;N/A;00.00%;
